canonical,^6,,^5.3,,^(5.0|5.1|5.2),
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC COMMITTEE ID,2,FILER FEC COMMITTEE ID
committee_name,3,FILER {Principal Campaign} COMMITTEE NAME,8,COMMITTEE NAME,8,COMMITTEE NAME
street_1,4,COMMITTEE STREET 1,9,STREET 1,9,STREET 1
street_2,5,COMMITTEE STREET 2,10,STREET 2,10,STREET 2
city,6,COMMITTEE CITY,11,CITY,11,CITY
state,7,COMMITTEE STATE,12,STATE,12,STATE
zip_code,8,COMMITTEE ZIP,13,ZIP,13,ZIP
candidate_id,9,CANDIDATE ID NUMBER,4,CANDIDATE ID,4,CANDIDATE ID
candidate_last_name,10,CANDIDATE LAST NAME,,,,
candidate_first_name,11,CANDIDATE FIRST NAME,,,,
candidate_middle_name,12,CANDIDATE MIDDLE NAME,,,,
candidate_prefix,13,CANDIDATE PREFIX,,,,
candidate_suffix,14,CANDIDATE SUFFIX,,,,
candidate_office,15,CANDIDATE OFFICE,5,CAN/OFFICE,5,CAN/OFFICE
candidate_state,16,CANDIDATE STATE,6,CANDIDATE STATE,6,CANDIDATE STATE
candidate_district,17,CANDIDATE DIST,7,CANDIDATE DISTRICT,7,CANDIDATE DISTRICT
previous_expenditure_aggregate,18,PREVIOUS EXPENDITURE AGGREGATE,14,PREVIOUS EXPENDITURE AGGREGATE,14,PREVIOUS EXPENDITURE AGGREGATE
expenditure_total_this_report,19,EXPENDITURE TOTAL THIS REPORT,15,EXP TOTAL THIS REPORT,15,EXP TOTAL THIS REPORT
expenditure_total_cycle_to_date,20,EXPENDITURE TOTAL CYCLE-TO-DATE,16,EXP TOTAL CYCLE-TO-DATE,16,EXP TOTAL CYCLE-TO-DATE
meets_f6_filing_requirements,21,MEETS F6 FILING FILING REQUIREMENTS,19,MEETS F6 FILING REQUIREMENTS,,
candidate_employer,22,CANDIDATE EMPLOYER,20,CANDIDATE EMPLOYER,,
candidate_occupation,23,CANDIDATE OCCUPATION,21,CANDIDATE OCCUPATION,,
treasurer_last_name,24,TREASURER LAST NAME,,,,
treasurer_first_name,25,TREASURER FIRST NAME,,,,
treasurer_middle_name,26,TREASURER MIDDLE NAME,,,,
treasurer_prefix,27,TREASURER PREFIX,,,,
treasurer_suffix,28,TREASURER SUFFIX,,,,
date_signed,29,DATE SIGNED,18,DATE (Signed),18,DATE (Signed)
candidate_name,,,3,CANDIDATE NAME,3,CANDIDATE NAME
signer_name,,,17,NAME/CANDIDATE (as signed),17,NAME/CANDIDATE (as signed)
