canonical,^8.3|8.2,
form_type,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER
principal_committee_name,3,PRINCIPAL COMMITTEE NAME
coverage_from_date,4,COVERAGE FROM DATE
coverage_through_date,5,COVERAGE THROUGH DATE
authorized_committee_id_number,6,AUTHORIZED COMMITTEE ID NUMBER
authorized_committee_name,7,AUTHORIZED COMMITTEE NAME
col_a_cash_beginning_reporting_period,8,6 Cash on Hand at Beginning of Reporting Period
col_a_cash_on_hand_close,9,10 Cash on Hand at Close of Reporting Period
col_a_debts_to,10,11 Debts and Obligations Owed TO the Committee
col_a_debts_by,11,12 Debts and Obligations Owed BY the Committee
col_a_expenditures_subject_to_limits,12,13 Expenditures Subject to Limitation
col_a_net_contributions,13,14 Net Contributions
col_a_net_operating_expenditures,14,15 Net Operating Expenditures
col_a_federal_funds,15,16 Federal Funds
col_a_individual_contributions,16,17(a)(iii) Contributions from Individuals/Persons Other Than Political Committees
col_a_political_party_contributions,17,17(b) Contributions from Political Party Committees
col_a_pac_contributions,18,17(c) Contributions from Other Political Committees
col_a_candidate_contributions,19,17(d) Contributions from the Candidate
col_a_total_contributions,20,17(e) Total Contributions
col_a_transfers_from_authorized,21,18 Transfers from Other Authorized Committees
col_a_candidate_loans,22,19(a) Loans Received From or Guaranteed by the Candidate
col_a_other_loans,23,19(b) Other Loans
col_a_total_loans,24,19(c) Total Loans
col_a_offset_to_operating_expenditures,25,20(a) Offsets to Operating Expenditures
col_a_offset_to_fundraising_expenditures,26,20(b) Offsets to Fundraising Expenditures
col_a_offset_to_legal_expenditures,27,20(c) Offsets to Legal and Accounting Expenditures
col_a_total_offset,28,20(d) Total Offsets to Expenditures
col_a_other_receipts,29,21 Other Receipts
col_a_total_receipts,30,22 Total Receipts
col_a_operating_expenditures,31,23 Operating Expenditures
col_a_transfers_to_authorized,32,24 Transfers to Other Authorized Committees
col_a_fundraising_disbursements,33,25 Fundraising Disbursements
col_a_exempt_legal_disbursements,34,26 Exempt Legal and Accounting Disbursements
col_a_candidate_loan_repayments,35,27(a) Repayments of Loans Made or Guaranteed by Candidate
col_a_other_loan_repayments,36,27(b) Other Loan Repayments
col_a_total_loan_repayments,37,27(c) Total Loan Repayments Made
col_a_refunds_to_individuals,38,28(a) Refunds of Contributions from Individuals/Persons
col_a_refunds_to_party_committees,39,28(b) Refunds of Contributions from Political Party Committees
col_a_refunds_to_other_committees,40,28(c) Refunds of Contributions from Other Political Committees
col_a_total_refunds,41,28(d) Total Contributions Refunds
col_a_other_disbursements,42,29 Other Disbursements
col_a_total_disbursements,43,30 Total Disbursements
col_a_items_on_hand_to_be_liquidated,44,31 Items on Hand to be Liquidated
